board_type,board,stock_count,best_rank,avg_rank,top_stocks
concept,外资背景,4,276,1208.25,600641:先导基电#276 | 000001:平安银行#1110 | 000895:双汇发展#1651 | 600114:东睦股份#1796
concept,超级细菌,4,320,867.75,000078:ST海王#320 | 600267:海正药业#776 | 600518:康美药业#1053 | 600085:同仁堂#1322
concept,草甘膦,4,517,882.5,600141:兴发集团#517 | 600596:新安股份#672 | 600226:亨通股份#685 | 603077:和邦生物#1656
concept,核污防治,4,1397,1465.0,002310:东方新能#1397 | 002366:融发核电#1425 | 003816:中国广核#1455 | 002631:德尔未来#1583
concept,送转潜力,3,139,403.0,300342:天银机电#139 | 300285:国瓷材料#158 | 300263:隆华科技#912
concept,鸡肉,3,190,604.33,000048:京基智农#190 | 000876:新 希 望#662 | 300498:温氏股份#961
concept,东亚自贸,3,247,1124.0,000811:冰轮环境#247 | 002498:汉缆股份#1198 | 300001:特锐德#1927
concept,甲型流感,3,320,763.67,000078:ST海王#320 | 600666:奥瑞德#649 | 600085:同仁堂#1322
concept,赛马概念,3,417,828.33,000592:平潭发展#417 | 002520:日发精机#727 | 600158:中体产业#1341
concept,婴童概念,3,485,814.0,300142:沃森生物#485 | 002292:奥飞娱乐#524 | 600763:通策医疗#1433
concept,免疫治疗,3,600,926.0,600196:复星医药#600 | 600267:海正药业#776 | 600851:海欣股份#1402
concept,日韩贸易,3,920,1348.33,600690:海尔智家#920 | 002498:汉缆股份#1198 | 300001:特锐德#1927
concept,海上丝路,2,410,950.5,600436:片仔癀#410 | 000582:北部湾港#1491
concept,氢燃料,2,460,530.0,000625:长安汽车#460 | 600196:复星医药#600
concept,未股改,2,744,744.5,600733:北汽蓝谷#744 | 000776:广发证券#745
concept,生物育种,2,968,1013.5,002157:正邦科技#968 | 002385:大北农#1059
concept,生物燃料,2,1084,1155.5,000859:国风新材#1084 | 002124:天邦食品#1227
concept,自贸区,2,1198,1562.5,002498:汉缆股份#1198 | 300001:特锐德#1927
concept,天津自贸,1,105,105.0,600821:金开新能#105
concept,三沙概念,1,120,120.0,600759:ST洲际#120
concept,基因测序,1,207,207.0,300244:迪安诊断#207
concept,水域改革,1,486,486.0,002173:创新医疗#486
concept,含GDR,1,869,869.0,601688:华泰证券#869
concept,维生素,1,1915,1915.0,002001:新 和 成#1915
