code,market_symbol,name,rank,rank_change,his_rank_change,his_rank_change_rank,calc_time,market_all_count,rank_status,collected_at,industry_boards,primary_industry,exchange_industry,concept_boards,primary_concept,concept_count,is_tech,board_l1,board_l2,board_l3,board_path,all_tech_l2,all_tech_l3,tech_source_boards,classification_reason,classified_at
600489,SH600489,中金黄金,822,-2.0,133.0,1919.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,有色金属矿采选业;石油和天然气开采业,有色金属矿采选业,,保险重仓;央企50;融资融券;黄金概念,保险重仓,4,False,有色金属矿采选业,,,有色金属矿采选业,,,,non_tech_primary_industry,2026-07-11T18:23:53
600556,SH600556,天下秀,823,-1.0,967.0,600.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,互联网和相关服务,互联网和相关服务,,,,0,True,科技,软件AI与信创,软件信息服务,科技>软件AI与信创>软件信息服务,软件AI与信创,软件信息服务,industry_fallback,industry_fallback,2026-07-11T18:23:53
300627,SZ300627,华测导航,824,0.0,1601.0,251.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
300118,SZ300118,东方日升,826,0.0,971.0,594.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,电气机械和器材制造业,电气机械和器材制造业,C 制造业,HIT电池;TOPCon;业绩预升;光伏;光伏概念;本月解禁;钙钛矿,HIT电池,7,False,电气机械和器材制造业,,,电气机械和器材制造业,,,,non_tech_primary_industry,2026-07-11T18:23:53
603001,SH603001,奥康国际,828,0.0,-387.0,4033.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,农副食品加工业;皮革、毛皮、羽毛及其制品和制鞋业,农副食品加工业,,,,0,False,农副食品加工业,,,农副食品加工业,,,,non_tech_primary_industry,2026-07-11T18:23:53
603989,SH603989,艾华集团,828,-2.0,-409.0,4101.0,2026-07-10 21:02:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,,,,0,True,科技,AI算力与数据中心,液冷温控,科技>AI算力与数据中心>液冷温控,AI算力与数据中心;机器人与智能汽车;AI终端与消费电子;电子制造与通信设备,液冷温控;算力基础设施;机器人;消费电子;其他电子通信,液冷服务器;数据中心(AIDC);机器人概念;华为概念;industry_fallback,ths,2026-07-11T18:23:53
601890,SH601890,亚星锚链,829,0.0,1605.0,249.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
002405,SZ002405,四维图新,830,0.0,739.0,799.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,软件和信息技术服务业,软件和信息技术服务业,I 信息技术,业绩预降;军工航天;华为汽车;卫星导航;国防军工;汽车电子;特斯拉;重组概念,业绩预降,8,True,科技,软件AI与信创,软件信息服务,科技>软件AI与信创>软件信息服务,软件AI与信创,软件信息服务,industry_fallback,industry_fallback,2026-07-11T18:23:53
688361,SH688361,中科飞测,830,-1.0,-530.0,4407.0,2026-07-10 21:02:00,5530.0,ok,2026-07-11T18:23:44,,,,,,0,False,未分类,,,未分类,,,,non_tech_primary_industry,2026-07-11T18:23:53
600962,SH600962,国投中鲁,832,1.0,1070.0,514.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,酒、饮料和精制茶制造业,酒、饮料和精制茶制造业,,摘帽概念,摘帽概念,1,False,酒、饮料和精制茶制造业,,,酒、饮料和精制茶制造业,,,,non_tech_primary_industry,2026-07-11T18:23:53
600536,SH600536,中国软件,833,1.0,110.0,1984.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,软件和信息技术服务业,软件和信息技术服务业,,国产软件,国产软件,1,True,科技,AI终端与消费电子,AI终端,科技>AI终端与消费电子>AI终端,AI终端与消费电子;软件AI与信创,AI终端;信创与数据要素;软件信息服务,AI PC;华为欧拉;industry_fallback,ths,2026-07-11T18:23:53
603369,SH603369,今世缘,833,-1.0,725.0,826.0,2026-07-10 21:02:00,5530.0,ok,2026-07-11T18:23:44,酒、饮料和精制茶制造业,酒、饮料和精制茶制造业,,白酒概念,白酒概念,1,False,酒、饮料和精制茶制造业,,,酒、饮料和精制茶制造业,,,,non_tech_primary_industry,2026-07-11T18:23:53
601212,SH601212,白银有色,834,-3.0,73.0,2126.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,有色金属冶炼和压延加工业,有色金属冶炼和压延加工业,,,,0,False,有色金属冶炼和压延加工业,,,有色金属冶炼和压延加工业,,,,non_tech_primary_industry,2026-07-11T18:23:53
000559,SZ000559,万向钱潮,835,0.0,61.0,2173.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,汽车制造业,汽车制造业,C 制造业,特斯拉;融资融券;金融参股;锂电池,特斯拉,4,True,科技,半导体与先进封装,芯片/半导体,科技>半导体与先进封装>芯片/半导体,半导体与先进封装;机器人与智能汽车,芯片/半导体;智能汽车,MCU芯片;小米汽车,ths,2026-07-11T18:23:53
002176,SZ002176,江特电机,836,1.0,-99.0,2946.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,电气机械和器材制造业,电气机械和器材制造业,C 制造业,涉矿概念;股权激励;锂电池;锂矿,涉矿概念,4,False,电气机械和器材制造业,,,电气机械和器材制造业,,,,non_tech_primary_industry,2026-07-11T18:23:53
000908,SZ000908,石药景峰,837,1.0,-23.0,2560.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,医药制造业,医药制造业,C 制造业,仿制药;创新药;涉矿概念;长株潭,仿制药,4,False,医药制造业,,,医药制造业,,,,non_tech_primary_industry,2026-07-11T18:23:53
000032,SZ000032,深桑达Ａ,838,-2.0,-579.0,4510.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,互联网和相关服务,互联网和相关服务,E 建筑业,前海概念;深圳本地;电子支付;碳中和;绿色照明;重组概念,前海概念,6,True,科技,AI算力与数据中心,算力基础设施,科技>AI算力与数据中心>算力基础设施,AI算力与数据中心;软件AI与信创,算力基础设施;AI应用;信创与数据要素;软件信息服务,数据中心(AIDC);算力租赁;东数西算(算力);AI语料;AI应用;AI智能体;智谱AI;信创;华为鲲鹏;数据要素;industry_fallback,ths,2026-07-11T18:23:53
300735,SZ300735,光弘科技,839,0.0,467.0,1180.0,2026-07-10 20:58:00,5530.0,ok,2026-07-11T18:23:44,计算机、通信和其他电子设备制造业,计算机、通信和其他电子设备制造业,C 制造业,华为概念;华为汽车,华为概念,2,True,科技,AI终端与消费电子,AI终端,科技>AI终端与消费电子>AI终端,AI终端与消费电子;电子制造与通信设备,AI终端;其他电子通信,AI手机;华为手机;industry_fallback,ths,2026-07-11T18:23:53
